symptoms,possible_conditions,red_flags,recommended_questions,next_steps,confidence_level
"high fever, persistent cough, difficulty breathing","Pneumonia, COVID-19, Bronchitis","Difficulty breathing, High fever","How long have you had the fever?,Are you experiencing chest pain?","Seek immediate medical attention, Chest X-ray","high"
"sore throat, runny nose, sneezing","Common Cold, Allergies","","Do you have a fever?,Are your lymph nodes swollen?","Rest, hydrate, over-the-counter medication","medium"
"sharp chest pain, shortness of breath, pain in left arm","Heart Attack, Angina","Sharp chest pain, Pain in left arm","Does the pain get worse with activity?,Do you have a history of heart disease?","Call emergency services immediately","high"
"abdominal pain, nausea, vomiting","Gastroenteritis, Food Poisoning","Severe abdominal pain","Have you traveled recently?,Is there blood in your vomit?","Stay hydrated, eat bland foods, see a doctor if symptoms persist","medium"
"frequent urination, excessive thirst, unexplained weight loss","Diabetes Mellitus","Unexplained weight loss","Do you have blurry vision?,Are you experiencing fatigue?","Consult a doctor for a blood sugar test","high"
"headache, dizziness, blurred vision","Migraine, High Blood Pressure","Sudden severe headache","Is the headache on one side of your head?,Are you sensitive to light or sound?","Rest in a dark room, check blood pressure, consult a doctor","medium"
"lower back pain, pain radiating down leg","Sciatica, Herniated Disc","Loss of bladder control","Does the pain worsen when you sit?,Do you have any numbness or tingling?","Physical therapy, pain medication, consult a specialist","medium"
"rash, itching, hives","Allergic Reaction, Eczema","Swelling of the face or throat","Have you been exposed to any new substances?,Do you have any other symptoms?","Antihistamines, avoid the allergen, see a doctor if severe","low"
"fatigue, pale skin, weakness","Anemia","","Do you have shortness of breath?,Are your hands and feet cold?","Iron supplements, blood test, dietary changes","medium"
"joint pain, swelling, stiffness","Arthritis","","Is the pain worse in the morning?,Do you have a family history of arthritis?","Anti-inflammatory medication, physical therapy","medium"
"sudden numbness or weakness in the face, arm, or leg","Stroke","Sudden numbness or weakness","Do you have trouble speaking or understanding?,Is your vision affected?","Call emergency services immediately","high"
"coughing up blood, chest pain, weight loss","Tuberculosis, Lung Cancer","Coughing up blood","Have you been in contact with someone with TB?,Do you have a history of smoking?","Immediate medical evaluation required","high"
"memory loss, confusion, personality changes","Dementia, Alzheimer's Disease","Rapid cognitive decline","Is there a family history of dementia?,Are daily activities affected?","Neurological assessment, consult a specialist","medium"
"shortness of breath, wheezing, chest tightness","Asthma","Severe shortness of breath","Do you use an inhaler?,What triggers your symptoms?","Use a rescue inhaler, seek medical help if severe","medium"
